Versão,Atributos,Acurácia (%),Precisão (%),Recall (%),F1-Score (%),ROC-AUC (%),Tempo Treino (s),Tempo Pred. (s)
Original,78,23.666666666666668,39.69072164948454,3.4222222222222225,6.30114566284779,39.29567407407408,0.2851247787475586,0.04216933250427246
PCA,15,25.866666666666667,55.158730158730165,6.177777777777778,11.11111111111111,39.831140740740736,0.17200899124145508,0.025296688079833984
LDA,3,24.96666666666667,49.89561586638831,10.622222222222222,17.515573470135582,29.96388148148148,0.15573716163635254,0.025869131088256836
