Versão,Atributos,N Clusters,Acurácia (%),Precisão (%),Recall (%),F1-Score (%),ROC-AUC (%),Tempo Treino (s),Tempo Pred. (s)
Original,78,15,76.36666666666667,76.05681433885695,99.95555555555555,86.3837142308431,48.29854814814814,7.112531423568726,0.0033447742462158203
PCA,15,22,76.5,76.15983745343719,99.95555555555555,86.4501249279262,25.49125925925926,0.9794995784759521,0.002163410186767578
LDA,3,30,96.89999999999999,96.58747300215983,99.37777777777778,97.96276013143483,31.31674074074074,0.776787519454956,0.002073526382446289
