Versão,Atributos,Acurácia (%),Precisão (%),Recall (%),F1-Score (%),Tempo Treino (s),Tempo Pred. (s)
Original,78,99.63333333333333,99.63413014608234,99.63333333333333,99.63353253413014,0.2257404327392578,0.0306241512298584
PCA,15,98.9,98.90237033309835,98.9,98.89933369576163,0.2240293025970459,0.030210494995117188
LDA,3,98.76666666666667,98.76649298429821,98.76666666666667,98.76583224012215,0.1514737606048584,0.0315396785736084
