Versão,Atributos,Acurácia (%),Precisão (%),Recall (%),F1-Score (%),Tempo Treino (s),Tempo Pred. (s)
Original,78,99.76666666666667,99.76728723404254,99.76666666666667,99.76677727406286,0.9446005821228027,0.01280975341796875
PCA,15,98.86666666666667,98.8712133869738,98.86666666666667,98.86670188759851,0.4883556365966797,0.006693124771118164
LDA,3,98.76666666666667,98.7663462416868,98.76666666666667,98.76628656089062,0.23702263832092285,0.006036996841430664
