LD1,LD2,LD3
-5.867233939710824,1.6165681678282997,0.7853872295166905
2.7622765068099726,-1.9192882075737212,1.5138081626998179
3.3724685236986107,-1.9937073539648336,3.0389761712559284
2.420385831396772,-0.8143427955541211,2.2595268313879973
7.110000019652963,1.9065199219079834,-1.9238820641598027
-5.715531795260413,1.6522566755247494,0.8770493885123526
-1.4592003487229281,-1.9895736921337117,-2.995747877004297
0.3514074145944279,-4.01155207225489,-1.9464276025027372
-1.7675639420494744,-2.2179879611349453,-2.6959208372192696
-5.57144684364155,0.9795040696515924,1.2969529841336636
-5.642774171172946,1.6895328773633391,0.9447042077952299
-1.4363081095506505,-1.9746547469522686,-3.0800581996149288
4.276674225998621,2.9054586886332894,-1.697469869161476
-1.2828718968230086,-3.317562270101203,-2.8876670137336045
1.9846766577926507,-0.04154292008741446,0.8897706702237763
4.7749776847901515,3.25386540404376,-1.7415116359215066
-5.264529622548271,0.9967747448198496,1.417356286365009
-5.325619507907624,0.9691160097420735,1.3647686407219384
-5.3827072327498255,0.9708144156075926,1.3481758505458101
3.8205199162025916,3.202798854528887,-1.4474567466863046
-5.987215491225748,1.8276982125247905,0.9942065594599472
3.0168499092847263,-1.4003309556301455,2.59943686203438
-5.51055531919845,0.8545050732503987,1.1600132643329533
-2.3121748869517957,-0.7345106907799295,-0.15800446045474745
3.0193172201375784,-1.4194428640429968,2.6057031268559565
1.7979274301220831,0.008541117788906745,0.9035314324627571
-1.7493361997672934,-1.8974494665541575,-3.0747959401089937
-5.630195154078803,1.6822758219968907,0.9402978344592479
4.8210030642255,2.729044438543988,-1.4081183281948213
4.195314982944711,3.683410066086803,-1.5330830534285602
-3.9090103195510766,-1.382025337634102,0.07434006819333197
-6.182491823841521,1.253422212481472,1.4215716100017748
4.518541675066526,2.764424724725218,-1.2698854054662654
3.5207352448595253,0.4675090639477091,-0.30896561283675594
4.874073226075611,2.6551172027041785,-1.3757414898982017
-1.9847215041621493,-2.137311016015358,-3.041202897070003
4.732964624827422,2.683760091371417,-1.4268555584571145
-1.2141522040809696,-1.7430020390488603,-2.7137311548797114
-5.613668435831733,1.6880780026410447,0.9525333646303678
-1.4655924524526716,-3.4056972346126515,-3.4095812143165882
2.640663230138949,-1.5260708324950512,1.6061834084665012
-3.291130565145938,-1.3690233579117366,-1.4650459246500225
2.8008559065051073,-1.4489745162688386,3.1077114668060313
-5.466382276402714,0.928015985651153,1.270339162396648
-5.290315161612747,1.0095034244958345,1.4239967893883823
2.6911448122042962,-1.8595284960790708,1.4715837615503229
5.5049555418248906,-3.3887938857344486,1.781251574287915
-5.606287136962627,1.703136093294999,0.9726498282141167
2.7127275695122317,-1.514080671104521,1.6907091881921505
3.3340470712368253,-1.3938463073793763,2.4066006370193898
-5.33826805085902,0.9735701510457062,1.3659109110967043
-5.232018797131825,0.9986479039747449,1.4301622144650363
2.8484897400607405,-1.9915293734812507,1.5653077959872597
-1.1813613410803623,-3.327647652565798,-2.8365486093075982
-5.216918680812207,0.9981348118152269,1.4344758918039517
3.0043592175393723,-1.3174239680673927,2.5728295665455256
-5.233089694026213,1.0027430318047106,1.4346524089921904
3.6063292459557688,-2.029600260357537,2.73370363203871
-1.2837721966985416,-2.328333712087256,-3.591451465024083
-5.839237274293155,1.6473596067353995,0.8307513017591771
-0.16658447876065693,-1.0663192989400252,-1.6818632918474903
4.395002175278454,2.562770480776044,-1.8607937595448596
-5.2703406631086755,1.002705957603121,1.4224719193310726
2.5845486057315714,-1.8007597401104776,1.429817632000097
2.7679064429266287,-0.6584998843937286,3.1017644231390173
2.6654488989627203,-1.5164490415238394,1.695588479795402
4.642620838488778,3.171173329769448,-1.494303578172218
5.152111236725244,2.918208776976752,-1.944931780372106
1.7969662393353294,-0.01491182859948294,0.8983710291452683
2.9432831158136405,-1.35755329287147,2.6915949104560926
-1.2317854439308202,-3.39873352430898,-3.1017953692497033
4.12180415365034,-1.5580658091152344,1.8757081076813373
4.344742151272323,2.54487316218963,-1.0061296699990079
-5.579183112826587,1.6923576872989585,0.9688654151945573
-1.2305995229384632,-3.289779556123111,-2.8760244778621096
-5.3102751910072845,0.9890539635426565,1.3933283912056365
-1.6349615555361667,-2.0540303497235235,-2.768467467771256
2.891685971304594,-1.0848965196841558,2.4810690429344278
-5.617040780845234,1.6972549392139502,0.962213493926477
3.571365559169766,-1.720255776530076,2.483039945179821
3.4823728678707657,0.7283429090431879,-0.3885596959002273
3.994967614131345,3.1701544102467865,-1.0727874046482058
4.152761685382828,2.573938577970939,-1.5958052636682396
4.139984273279058,3.2382109881042536,-1.307887819084835
4.524588003941892,2.9385510190276496,-1.2170982685490181
-1.3960115166486047,-1.990546753484653,-2.9666977419197216
-1.1688801407568807,-3.3429757811167717,-2.815597856888362
-5.616525339761199,1.6867925896812208,0.9500863506836768
-5.920016421395535,0.788784166862226,0.9580117683882916
4.052919718094883,3.2501113069473346,-1.2607467751173536
-1.4439534717682452,-1.9750993954245906,-2.959123885643844
-1.5340150378588924,-1.987877968090071,-2.7821359249491118
3.597532251323924,4.410014869850611,-2.6155982572929726
-1.3448389340941274,-3.1432662041210624,-2.7734240776623005
2.6930547755819987,-1.5167539977244437,1.7266925164522429
